SCHOOLID,STUDENT_NUMBER,LASTFIRST,GRADE_LEVEL,GENDER,COACH,ELASTATUS,ELASTATUSDATE,LTELSTATUS,plListen,plSpeak,plRead,plWrite,plOverall,celdtCriterion,SPEDCaseManager,SPEDNeeds,lowGrades,highGrades,missingAssignments,suspensionDetail,suspensionsCurrent,suspensionsLast,studentGoal,goalTimestamp,SBACM_Earliest,SBACM_Latest,SBACE_Earliest,SBACE_Latest,mTestPercentile,rTestPercentile,mFallToFall,rFallToFall,attendance,Merits,Demerits,Reflections,behaviorSummary,ANET1MathPercent,GradeLevelAverageMathANET1,ANETMathSummary,ANET1ELAPercent,GradeLevelAverageELAANET1,ANETELASummary,ANET2MathPercent,GradeLevelAverageMathANET2,ANET2MathSummary,ANET2ELAPercent,GradeLevelAverageELAANET2,ANET2ELASummary,numCel,improvements,celebrations,StaffCelebrations,ANETMATH,ANETELA,SPED,SBACELAProjection,SBACMathProjection
Demo School 2,100057,Leatha Konieczny  ,6,M,Zelda,EL,14-Aug-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,2,0,8,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-12: Fixing my grades from my classes ..</strong><i>My parents would be proud of me. Having no time to finish my class work and stay in class to finsh and break i over and not time to fix my grades.. If I finish my work then I will accomplish my wish.. pride</i>,43143.61044,,1,,1,8,3,Less than a year,Less than a year,90 to 95%,405,-136,41,"Chronic/16/Jan-11/7/['Month','Detentions'],['Aug',0],['Sept',0],['Oct',0],['Nov',16],['Dec',5],['Jan',20],['Feb',0]",0.25,0.30726601,Below average,0.260869565,0.344537815,Below average,,0.31722551,,,0.462104072,,6,"<li>Benchmark Math 1 score was below network average; you scored 25% while your classsmates scored 31%</li><li>Benchmark ELA 1 score was below network average; you scored 26% while your classsmates scored 34%</li><li><b>Semester two: 2 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F/52 - 7th Grade Science - as of  Feb 11 ; 2 absence(s) ; 7 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>F/47 - 7th grade Pre-Algebra - as of  Feb 11 ; 2 absence(s) ; 7 assignment(s) were missing <i></i></p></li><li>Turn in <b>19 missing assignment(s): </b>14 classwork </li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 2</b>, Concepts and Procedures - Near Standard, Problem Solving - Below Standard, Communicating Reasoning - Near Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Near Standard, Writing - Below Standard, Listening - Above Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 4. To get closer to grade level, increase your current RIT score of 202 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 3. To get closer to grade level, increase your current RIT score of 189 by 3 points for one year of growth or by 5 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Attendance 95%</b> - 102/107 days. Rate last year: 92%</li><li><b>Semester two: 1 courses with As/Bs:</b><br><p style='margin-left: 40px'>A-/91 English Lanquage Arts 7-<i></i></p></li><li><b>Passed the CELDT test</b> that you took in 2016. Well done!</li><li>SBAC <b>Math achievement level increased </b>from 1 in 2016 to 2 in 2017</li><li>SBAC <b>ELA achievement level increased </b>from 1 in 2016 to 2 in 2017.</li>,,Net average is negative,Net average is negative,NO,1,1
Demo School 2,100058,Dorcas Stryker  ,6,M,Zelda,RFEP,14-Aug-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,0,0,2,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: I want want to care more about the teachers..</strong><i>I will be able to be the favorite student?. Sometimes I will get off task and be talking while the teachers are talking.. I will try to stop myself from talking and have other help me.. This value will be ganas because im trying my best not to talk.</i>,43138.5929,,4,,3,1,1,Less than a year,Less than a year,96% or higher,4090,-155,3,rpg,0.142857143,0.30726601,Below average,0.173913044,0.344537815,Below average,0.192307692,0.31722551,Below average,0.4375,0.462104072,Below average,5,"<li>Benchmark Math 2 score was below network average; you scored 19% while your classsmates scored 32%</li><li>Benchmark Math 1 score was below network average; you scored 14.% while your classsmates scored 31%</li><li>Benchmark ELA 2 score was below network average; you scored 44% while your classsmates scored 46%</li><li>Benchmark ELA 1 score was below network average; you scored 17% while your classsmates scored 34%</li><li><b>Semester two: 2 courses with a grade below 80:</b><br><p style='margin-left: 40px'>C/75 - 7th grade Pre-Algebra - as of  Jan 24 ; 1 absence(s) <i></i></p><p style='margin-left: 40px'>F/41 - 7th grade Humanities - as of  Jan 24 ; 1 absence(s) <i></i></p></li><li><b>Did not pass the CELDT test</b> in 2016. To pass on your next attempt, you must get a 3 or above in all areas and at least a 4 overall. Latest levels are: Listening 4; Speaking 4; Reading 1; Writing 1; Overall 3</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Below Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Below Standard, Listening - Below Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 2.8. To get closer to grade level, increase your current RIT score of 188 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 2.4. To get closer to grade level, increase your current RIT score of 182 by 3 points for one year of growth or by 5 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Attendance 99%</b> - 106/107 days. Rate last year: 100%</li><li><b>Completed all class assignments</b> this year</li><li>Overall <b>CELDT level went up </b>from level 2 in 2015 to level 3 in 2016</li><li><b>Reclassified as Fluent English Proficient</b> on 08-14-2017!</li>,,Net average is negative,Net average is negative,NO,1,1
Demo School 2,100059,Hannah Thurgood  ,6,F,Zelda,RFEP,14-Aug-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,0,2,0,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: An important wish that I would like to accomplish is to an care for others and my teachers..</strong><i>The best result is to get a better report from other and I will feel pleasant with accomplishing on caring for others and being kind towards other.. An obstacle that might prevent me from accomplishing my wish is that sometimes I don't remember about my goal and aren't really passionate to accomplish it.. If I'm more concerned about others and them then I will become more helpful and pleasant to my community and peers.. This RPG goal represents respect because I'm caring and expressing gratitude towards my peers.</i>,43138.59607,,3,,4,4,1,Low Achievement,Less than a year,90 to 95%,534,-12,7,rpg,0.107142857,0.30726601,Below average,0.347826087,0.344537815,At or above average,0.384615385,0.31722551,At or above average,0.125,0.462104072,Below average,6,"<li>Benchmark Math 1 score was below network average; you scored 11% while your classsmates scored 31%</li><li>Benchmark ELA 2 score was below network average; you scored 13% while your classsmates scored 46%</li><li><b>Semester two: 3 courses with a grade below 80:</b><br><p style='margin-left: 40px'>C/75 - English Lanquage Arts 7 - as of  Feb 8 ; 5 absence(s) <i></i></p><p style='margin-left: 40px'>F+/63 - 7th grade Pre-Algebra - as of  Feb 7 ; 4 absence(s) ; 4 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>F/37 - 7th Grade Science - as of  Feb 11 ; 4 absence(s) ; 8 assignment(s) were missing <i></i></p></li><li>Turn in <b>12 missing assignment(s): </b>11 classwork </li><li><b>Did not pass the CELDT test</b> in 2016. To pass on your next attempt, you must get a 3 or above in all areas and at least a 4 overall. Latest levels are: Listening 3; Speaking 4; Reading 1; Writing 2; Overall 3</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Below Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Below Standard, Listening - Below Standard, Research/Inquiry - Below Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 3.5. To get closer to grade level, increase your current RIT score of 196 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 2. To get closer to grade level, increase your current RIT score of 175 by 3 points for one year of growth or by 5 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Benchmark Math 2 score was at or above network average</b>; you scored 38% while your classsmates scored 32%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 35% while your classsmates scored 34%</li><li><b>Attendance 94%</b> - 101/107 days. Rate last year: 97%</li><li>Overall <b>CELDT level went up </b>from level 2 in 2015 to level 3 in 2016</li><li><b>Reclassified as Fluent English Proficient</b> on 08-14-2017!</li>,,Net average is negative,Net average is negative,NO,1,1
Demo School 2,100060,Krystin Bryon  ,6,M,Zelda,EO,14-Aug-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,2,0,8,24-JAN-student physically attacked another student after taunting and bullying him. <>20-SEP-Brought fireworks to school ,3,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: My wish is to care..</strong><i>I will feel happy.. My friends. If I take a break from hanging out then I will care.. respect because it is caring.</i>,43138.59164,,1,,2,45,47,1.5 or more years,1.5 or more years,Less than 90 not improving,1630,-15,0,rpg,0.210526316,0.36344239,Below average,0.4,0.390476191,At or above average,0.37037037,0.394137453,Below average,0.545454546,0.415433404,At or above average,7,"<li>Benchmark Math 2 score was below network average; you scored 37% while your classsmates scored 39%</li><li>Benchmark Math 1 score was below network average; you scored 21% while your classsmates scored 36%</li><li><b>Attendance rate is not improving</b>. Last year 87% and 81% this year - 87/107 days<div id='calendar_basic' ></div></li><li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>C/75 - 8th grade Algebra - as of  Feb 5 ; 6 absence(s) <i></i></p></li><li>Turn in <b>2 missing assignment(s): </b>2 homework</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 2</b>, Concepts and Procedures - Near Standard, Problem Solving - Near Standard, Communicating Reasoning - Near Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Near Standard, Writing - Near Standard, Listening - Near Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 8.3. To get closer to grade level, increase your current RIT score of 227 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 8.3. To get closer to grade level, increase your current RIT score of 218 by 1 points for one year of growth or by 2 points for 1.5 years of growth by Spring 1718.</li><li>24-JAN-student physically attacked another student after taunting and bullying him. <>20-SEP-Brought fireworks to school . Days in suspensions this year: 3 </li>","<li><b>Benchmark ELA 2 score was at or above the network average</b>; you scored 55.% while your classsmates scored 42%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 40% while your classsmates scored 39%</li><li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A-/92 8th grade Humanities-De Los Reyes, Jessica  N <i></i></p><p style='margin-left: 40px'>A-/90 Physical Education-<i></i></p></li><li><b>Passed the CELDT test</b> that you took in 2016. Well done!</li><li><b>On track to grow 1.5 or more years in Mathematics </b> this year! Current RIT score is 227 approximate grade level is 8.3</li><li><b>On track to grow 1.5 or more years in Reading</b> this year! Current RIT score is 218 approximate grade level is 8.3</li>",,Net average is negative,Net average is at par or positive,NO,2,2
Demo School 2,100061,Lowell Rayfield  ,6,M,Zelda,EL,14-Aug-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,Cindy,Other Health Impairment (OHI),2,0,7,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: My wish is to meet my dad's family..</strong><i>Happy. Excited. i faced it already. i was 12 wen i went to the ire port and they said i was to litell. i will try again wen i get older. ganas because i will try again</i>,43138.60432,,1,,1,8,20,Less than a year,Less than a year,90 to 95%,1505,-20,1,rpg,0.210526316,0.36344239,Below average,0.2,0.390476191,Below average,0.259259259,0.394137453,Below average,0.181818182,0.415433404,Below average,5,"<li>Benchmark Math 2 score was below network average; you scored 26% while your classsmates scored 39%</li><li>Benchmark Math 1 score was below network average; you scored 21% while your classsmates scored 36%</li><li>Benchmark ELA 2 score was below network average; you scored 18% while your classsmates scored 42%</li><li>Benchmark ELA 1 score was below network average; you scored 20% while your classsmates scored 39%</li><li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F/4 - 8th grade Humanities - as of  Jan 10 ; 1 absence(s) <i></i></p></li><li>Turn in <b>4 missing assignment(s): </b>1 classwork 3 homework</li><li><b>Did not pass the CELDT test</b> in 2016. To pass on your next attempt, you must get a 3 or above in all areas and at least a 4 overall. Latest levels are: Listening 3; Speaking 4; Reading 2; Writing 4; Overall 3</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 2</b>, Concepts and Procedures - Near Standard, Problem Solving - Below Standard, Communicating Reasoning - Near Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Below Standard, Writing - Near Standard, Listening - Below Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 4.2. To get closer to grade level, increase your current RIT score of 203 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 5. To get closer to grade level, increase your current RIT score of 206 by 2 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Attendance 95%</b> - 102/107 days. Rate last year: 96%</li><li><b>Semester two: 1 courses with As/Bs:</b><br><p style='margin-left: 40px'>A-/92 Physical Education-<i></i></p></li><li>SBAC <b>Math achievement level increased </b>from 1 in 2016 to 2 in 2017</li><li>SBAC <b>ELA achievement level increased </b>from 1 in 2016 to 2 in 2017.</li>,,Net average is negative,Net average is negative,YES,1,1
Demo School 2,100062,Shanelle Stelter  ,6,F,Zelda,EL,14-Aug-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,1,0,5,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: my goal is to help others in need and be nice..</strong><i>i will be happy that i happy to help others and be nice to everyone. i could not help anybody and be mean. if i do what my goal is then i will rewared my self. my goal is showing respect.</i>,43138.59741,,1,,1,59,94,High Achievement; at least 50th percentile,High Achievement; at least 75th percentile,96% or higher,2795,-10,0,rpg,0.535714286,0.30726601,At or above average,0.739130435,0.344537815,At or above average,0.653846154,0.31722551,At or above average,0.875,0.462104072,At or above average,12,,"<li><b>Benchmark Math 2 score was at or above network average</b>; you scored 65% while your classsmates scored 32%</li><li><b>Benchmark Math 1 score was at or above network average</b>; you scored 54% while your classsmates scored 31%</li><li><b>Benchmark ELA 2 score was at or above the network average</b>; you scored 88% while your classsmates scored 46%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 74% while your classsmates scored 34%</li><li><b>Attendance 100%</b> - 107/107 days. Rate last year: 99%</li><li><b>Semester two: 3 courses with As/Bs:</b><br><p style='margin-left: 40px'>A/95 7th grade Humanities-Arendt, Brandi R <i></i></p><p style='margin-left: 40px'>A/95 7th grade Pre-Algebra-Barragan, Elisa <i></i></p><p style='margin-left: 40px'>A-/92 Physical Education-<i></i></p></li><li><b>Completed all class assignments</b> this year</li><li>College and Career Ready: SBAC <b> ELA level 4 </b>on the 2017 test</li><li>College and Career Ready: SBAC <b>Math level 3 </b>on the 2017 test</li><li>As of Jan 2018, you are <b>at grade level 9 in Mathematics</b>. To stay at grade level, increase your current RIT score of 230 by 2
 points.</li><li>As of Jan 2018, you are <b>at grade level 9 in ELA</b>. To stay at grade level, increase your current RIT score of 240 by 1 points.</li>",,Net average is at par or positive,High Score - 70%,NO,4,2
Demo School 2,100063,Vennie Hiler  ,6,F,Zelda,IFEP,14-Aug-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,0,2,0,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: I want to show ALL my friends I care about them ....</strong><i>I will know that they know i care a lot about them and teacher will be happier. I have a weird way of showing it and they may or may not think im a weird person. I will probably give them tiny gifts or candy to show i care about them^w^. This helps me show respect</i>,43138.60035,,4,,4,1,1,Less than a year,Less than a year,96% or higher,306,-128,6,rpg,0.105263158,0.36344239,Below average,0.266666667,0.390476191,Below average,0.185185185,0.394137453,Below average,0.227272727,0.415433404,Below average,3,"<li>Benchmark Math 2 score was below network average; you scored 19% while your classsmates scored 39%</li><li>Benchmark Math 1 score was below network average; you scored 11% while your classsmates scored 36%</li><li>Benchmark ELA 2 score was below network average; you scored 23% while your classsmates scored 42%</li><li>Benchmark ELA 1 score was below network average; you scored 27% while your classsmates scored 39%</li><li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F/43 - English Language Arts 8 - as of  Feb 9  ; 1 assignment(s) were missing <i></i></p></li><li>Turn in <b>3 missing assignment(s): </b>1 classwork </li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Below Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Below Standard, Listening - Below Standard, Research/Inquiry - Below Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 2.5. To get closer to grade level, increase your current RIT score of 183 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 2. To get closer to grade level, increase your current RIT score of 175 by 3 points for one year of growth or by 5 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Attendance 97%</b> - 104/107 days. Rate last year: 95%</li><li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A/96 8th grade Algebra- <i></i></p><p style='margin-left: 40px'>B/85 8th grade Science-<i></i></p></li>,,Net average is negative,Net average is negative,NO,1,1
Demo School 2,100064,Cira Rago  ,6,F,Zelda,EL,14-Aug-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,Cindy,Specific Learning Disability (SLD),0,2,1,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: caring to people..</strong><i>I will feel good about myself.. being mad at people.. If I be caring then I will good to people.. I need more ganas because same times I get mad.</i>,43138.59461,,,,,19,35,1.5 or more years,1.5 or more years,96% or higher,1005,-365,14,"improvement/1/Jan-11/2/['Month','Detentions'],['Aug',1],['Sept',5],['Oct',5],['Nov',1],['Dec',0],['Jan',2],['Feb',0]",0.157894737,0.36344239,Below average,0.4,0.390476191,At or above average,,0.394137453,,0.545454546,0.415433404,At or above average,7,"<li>Benchmark Math 1 score was below network average; you scored 16% while your classsmates scored 36%</li><li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>C+/78 - 8th grade Humanities - as of  Jan 9 ; 1 absence(s) <i></i></p></li><li>Turn in <b>4 missing assignment(s): </b>4 homework</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Near Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Near Standard, Writing - Near Standard, Listening - Near Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 5.3. To get closer to grade level, increase your current RIT score of 213 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 6.5. To get closer to grade level, increase your current RIT score of 213 by 1 points for one year of growth or by 2 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Benchmark ELA 2 score was at or above the network average</b>; you scored 55.% while your classsmates scored 42%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 40% while your classsmates scored 39%</li><li><b>Attendance 99%</b> - 106/107 days. Rate last year: 100%</li><li><b>Semester two: 1 courses with As/Bs:</b><br><p style='margin-left: 40px'>B/84 Physical Education-<i></i></p></li><li><b>On track to grow 1.5 or more years in Mathematics </b> this year! Current RIT score is 213 approximate grade level is 5.3</li><li><b>On track to grow 1.5 or more years in Reading</b> this year! Current RIT score is 213 approximate grade level is 6.5</li>,,Net average is negative,Net average is at par or positive,YES,2,1
Demo School 2,100065,Myra Hodgin  ,6,F,Zelda,EL,14-Aug-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,0,2,1,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: care for others when there sad.</strong><i>happy. i don't see them sad. i will see if they are sad. respect</i>,43138.59152,,1,,1,56,55,High Achievement; at least 50th percentile,High Achievement; at least 50th percentile,96% or higher,2185,-10,0,rpg,0.421052632,0.36344239,At or above average,0.866666667,0.390476191,At or above average,0.555555556,0.394137453,At or above average,0.681818182,0.415433404,At or above average,12,"<li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Near Standard, Writing - Near Standard, Listening - Near Standard, Research/Inquiry - Near Standard</li>","<li><b>Benchmark Math 2 score was at or above network average</b>; you scored 56.% while your classsmates scored 39%</li><li><b>Benchmark Math 1 score was at or above network average</b>; you scored 42% while your classsmates scored 36%</li><li><b>Benchmark ELA 2 score was at or above the network average</b>; you scored 68% while your classsmates scored 42%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 87% while your classsmates scored 39%</li><li><b>Attendance 97%</b> - 104/107 days. Rate last year: 99%</li><li><b>Semester two: 3 courses with As/Bs:</b><br><p style='margin-left: 40px'>A+/100 8th grade Algebra-Sewalt, Gregory <i></i></p><p style='margin-left: 40px'>A+/98 Physical Education-<i></i></p><p style='margin-left: 40px'>B+/89 8th grade Humanities-De Los Reyes, Jessica  N <i></i></p></li><li><b>Completed all class assignments</b> this year</li><li>College and Career Ready: SBAC <b>Math level 4 </b>on the 2017 test</li><li>SBAC <b>Math achievement level increased </b>from 2 in 2016 to 4 in 2017</li><li>As of Jan 2018, you are <b>at grade level 9 in Mathematics</b>. To stay at grade level, increase your current RIT score of 232 by 2
 points.</li><li>As of Jan 2018, you are <b>at grade level 9 in ELA</b>. To stay at grade level, increase your current RIT score of 221 by 1 points.</li>",,Net average is at par or positive,Score decreased from 70%,NO,2,2
Demo School 2,100066,Suzy Copeland  ,6,F,Zelda,EL,14-Aug-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,Cindy,Specific Learning Disability (SLD),0,0,3,,0,0,"<br><br><strong class='bg-warning'>Goal set on Feb-7: Be Kind and talking to Keydy and people..</strong><i>great.. people that annoy me. If people annoy me, then I will not talk to them.. Respect</i>",43138.60424,,1,,1,59,40,High Achievement; at least 50th percentile,Less than a year,96% or higher,4010,-85,1,rpg,0.285714286,0.30726601,Below average,0.47826087,0.344537815,At or above average,0.5,0.31722551,At or above average,0.5625,0.462104072,At or above average,11,"<li>Benchmark Math 1 score was below network average; you scored 29.% while your classsmates scored 31%</li><li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F/31 - 7th grade Humanities - as of  Jan 24 ; 1 absence(s) ; 1 assignment(s) were missing <i></i></p></li><li>Turn in <b>2 missing assignment(s): </b>1 classwork 1 homework</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 6.5. To get closer to grade level, increase your current RIT score of 213 by 1 points for one year of growth or by 2 points for 1.5 years of growth by Spring 1718.</li>","<li><b>Benchmark Math 2 score was at or above network average</b>; you scored 50% while your classsmates scored 32%</li><li><b>Benchmark ELA 2 score was at or above the network average</b>; you scored 56.% while your classsmates scored 46%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 48% while your classsmates scored 34%</li><li><b>Attendance 98%</b> - 105/107 days. Rate last year: 99%</li><li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A+/98 7th grade Pre-Algebra <i></i></p><p style='margin-left: 40px'>A/96 Physical Education-<i></i></p></li><li><b>Passed the CELDT test</b> that you took in 2016. Well done!</li><li>College and Career Ready: SBAC <b> ELA level 3 </b>on the 2017 test</li><li>College and Career Ready: SBAC <b>Math level 4 </b>on the 2017 test</li><li>SBAC <b>Math achievement level increased </b>from 3 in 2016 to 4 in 2017</li><li>As of Jan 2018, you are <b>at grade level 9 in Mathematics</b>. To stay at grade level, increase your current RIT score of 230 by 2
 points.</li>",,Net average is at par or positive,Net average is at par or positive,YES,2,2
Demo School 2,100067,Arla Warlick  ,6,F,Zelda,RFEP,14-Aug-17,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,0,2,2,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: I want to accomplish of being caring..</strong><i>The best result of accomplishing my goal is to care for all my teachers and my classmates.. The main obstacle that i have inside is to thank other people and care of all of the people around me.. If I accomplished my goal then i will kepp on being caring to other and my teachers.. Its showing respect because im being caring to others and my teachers.</i>,43138.59425,,1,,1,59,83,High Achievement; at least 50th percentile,High Achievement; at least 75th percentile,96% or higher,3865,-215,5,rpg,0.5,0.30726601,At or above average,0.434782609,0.344537815,At or above average,0.423076923,0.31722551,At or above average,0.5,0.462104072,At or above average,14,<li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>D+/67 - 7th grade Humanities - as of  Jan 24  <i></i></p></li>,"<li><b>Benchmark Math 2 score was at or above network average</b>; you scored 42% while your classsmates scored 32%</li><li><b>Benchmark Math 1 score was at or above network average</b>; you scored 50% while your classsmates scored 31%</li><li><b>Benchmark ELA 2 score was at or above the network average</b>; you scored 50% while your classsmates scored 46%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 43% while your classsmates scored 34%</li><li><b>Attendance 99%</b> - 106/107 days. Rate last year: 98%</li><li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A/96 Physical Education-<i></i></p><p style='margin-left: 40px'>B/86 7th grade Pre-Algebra <i></i></p></li><li><b>Completed all class assignments</b> this year</li><li>College and Career Ready: SBAC <b> ELA level 3 </b>on the 2017 test</li><li>College and Career Ready: SBAC <b>Math level 3 </b>on the 2017 test</li><li>SBAC <b>Math achievement level increased </b>from 2 in 2016 to 3 in 2017</li><li>As of Jan 2018, you are <b>at grade level 9 in Mathematics</b>. To stay at grade level, increase your current RIT score of 230 by 2
 points.</li><li>As of Jan 2018, you are <b>at grade level 9 in ELA</b>. To stay at grade level, increase your current RIT score of 231 by 1 points.</li><li><b>Reclassified as Fluent English Proficient</b> on 08-14-2017!</li>",,Net average is at par or positive,Net average is at par or positive,NO,3,2
